NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,CONTINENT
Cuba,CUB,ALL#WORLD#CTLAM#CUB,False,,COUNTRY,North America
Cayman Islands,CYM,ALL#WORLD#CARIB#CYM,False,,COUNTRY,North America
Cyprus,CYP,ALL#WORLD#EUR#CYP,False,,COUNTRY,Asia
Czech Republic,CZE,ALL#WORLD#EUR#CZE_SVK#CZE,False,,COUNTRY,Europe
Germany,DEU,ALL#WORLD#EUR#DEU,False,,COUNTRY,Europe
Djibouti,DJI,ALL#WORLD#AFRMI#DJI,False,,COUNTRY,Africa
Denmark,DNK,ALL#WORLD#EUR#DNK,False,,COUNTRY,Europe
Dominican Republic,DOM,ALL#WORLD#CTLAM#DOM,False,,COUNTRY,North America
Ecuador,ECU,ALL#WORLD#OSAM#ECU,False,,COUNTRY,South America
Egypt,EGY,ALL#WORLD#AFRMI#EGY,False,,COUNTRY,Africa
Eritrea,ERI,ALL#WORLD#AFRMI#ERI,False,,COUNTRY,Africa
Spain,ESP,ALL#WORLD#EUR#ESP,False,,COUNTRY,Europe
Estonia,EST,ALL#WORLD#EUR#EST,False,,COUNTRY,Europe
Ethiopia,ETH,ALL#WORLD#AFRMI#ETH,False,,COUNTRY,Africa
Finland,FIN,ALL#WORLD#EUR#FIN,False,,COUNTRY,Europe
Fiji,FJI,ALL#WORLD#OCEAN#FJI,False,,COUNTRY,Oceania
France,FRA,ALL#WORLD#EUR#FRA,False,,COUNTRY,Europe
Gabon,GAB,ALL#WORLD#CWA#GAB,False,,COUNTRY,Africa
United Kingdom,GBR,ALL#WORLD#EUR#GBR,False,,COUNTRY,Europe
Georgia,GEO,ALL#WORLD#CIS#GEO,False,,COUNTRY,Asia
Ghana,GHA,ALL#WORLD#AFRMI#GHA,False,,COUNTRY,Africa
Gibraltar,GIB,ALL#WORLD#WESTE#GIB,False,,COUNTRY,Europe
Guinea,GIN,ALL#WORLD#AFRMI#GIN,False,,COUNTRY,Africa
Gambia,GMB,ALL#WORLD#AFRMI#GMB,False,,COUNTRY,Africa
Guinea-Bissau,GNB,ALL#WORLD#AFRMI#GNB,False,,COUNTRY,Africa
Equatorial Guinea,GNQ,ALL#WORLD#CWA#GNQ,False,,COUNTRY,Africa
Greece,GRC,ALL#WORLD#EUR#GRC,False,,COUNTRY,Europe
Guatemala,GTM,ALL#WORLD#CTLAM#GTM,False,,COUNTRY,North America
Guyana,GUY,ALL#WORLD#OSAM#GUY,False,,COUNTRY,South America
Hong Kong,HKG,ALL#WORLD#ASIA#HKG,False,,COUNTRY,Asia
Honduras,HND,ALL#WORLD#CTLAM#HND,False,,COUNTRY,North America
Croatia,HRV,ALL#WORLD#EUR#HRV,False,,COUNTRY,Europe
Haiti,HTI,ALL#WORLD#CTLAM#HTI,False,,COUNTRY,North America
Hungary,HUN,ALL#WORLD#EUR#HUN,False,,COUNTRY,Europe
Indonesia,IDN,ALL#WORLD#ASIA#IDN,False,,COUNTRY,Asia
India,IND,ALL#WORLD#ASIA#IND,False,,COUNTRY,Asia
Ireland,IRL,ALL#WORLD#EUR#IRL,False,,COUNTRY,Europe
